branch,sub_branch,region,entity_category,year,entity,entity_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"fueling AI","energy","US","energy_company",1882,"Edison Electric Institute",1882,"entity_inception","","Association founded","","","Power-sector trade group now centrally involved in framing AI-driven data center load growth.","https://www.eei.org/"
"fueling AI","energy","US","energy_company",1886,"Constellation Energy",1886,"entity_inception","","Company founded","","","Major U.S. nuclear power supplier repeatedly cited in AI data-center energy discussions.","https://www.constellationenergy.com/"
"fueling AI","energy","US","energy_company",1983,"NextEra Energy",1983,"entity_inception","","Company founded","","","One of the biggest renewable power developers now positioned as an AI-compute energy supplier.","https://www.nexteraenergy.com/"
"fueling AI","energy","US","energy_company",1981,"AES",1981,"entity_inception","","Company founded","","","Large power producer and developer participating in AI-factory energy conversations.","https://www.aes.com/"
"fueling AI","energy","US","energy_company",1981,"Vistra",1981,"entity_inception","","Company founded","","","Independent power producer tied to the nuclear-revival side of AI electricity demand.","https://www.vistracorp.com/"
"fueling AI","energy","US","energy_company",2006,"TerraPower",2006,"entity_inception","","Company founded","","","Advanced nuclear company often discussed in the small-modular-reactor path for AI-era power demand.","https://www.terrapower.com/"
"fueling AI","energy","US","energy_company",2013,"Oklo",2013,"entity_inception","","Company founded","","","Small-reactor company frequently cited as part of the AI-meets-nuclear revival story.","https://oklo.com/"
"fueling AI","energy","Canada","energy_company",1997,"Brookfield Renewable",1997,"entity_inception","","Company founded","","","Global renewable platform relevant to compute-linked solar, hydro, and power contracting.","https://bep.brookfield.com/"
"fueling AI","energy","US","energy_company",2026,"AES",1981,"industry_alignment","Flexible AI data centers","Partnership","","partner","AES joined Nvidia and Emerald AI's flexible AI data center energy collaboration.","https://www.axios.com/2026/03/23/utilities-nvidia-emerald-ai-data-centers"
"fueling AI","energy","US","energy_company",2026,"Constellation Energy",1886,"industry_alignment","Flexible AI data centers","Partnership","","partner","Constellation joined Nvidia and Emerald AI's flexible AI data center energy collaboration.","https://www.axios.com/2026/03/23/utilities-nvidia-emerald-ai-data-centers"
"fueling AI","energy","US","energy_company",2026,"NextEra Energy",1983,"industry_alignment","Flexible AI data centers","Partnership","","partner","NextEra joined Nvidia and Emerald AI's flexible AI data center energy collaboration.","https://www.axios.com/2026/03/23/utilities-nvidia-emerald-ai-data-centers"
"fueling AI","energy","US","energy_company",2026,"Vistra",1981,"industry_alignment","Flexible AI data centers","Partnership","","partner","Vistra joined Nvidia and Emerald AI's flexible AI data center energy collaboration.","https://www.axios.com/2026/03/23/utilities-nvidia-emerald-ai-data-centers"
